country,region,population,area,coastline,net migration,GDP,literacy,phones_per_1000,birthrate,deathrate,agriculture,industry,service
Jersey ,WESTERN EUROPE                     ,91084,116,"60,34","2,76",24800,,"811,3","9,3","9,28","0,05","0,02","0,93"
Jordan ,NEAR EAST                          ,5906760,92300,"0,03","6,59",4300,"91,3","104,5","21,25","2,65","0,033","0,287","0,68"
Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,0,"-3,35",6300,"98,4","164,1",16,"9,42","0,067","0,386","0,547"
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,"0,09","-0,1",1000,"85,1","8,1","39,72","14,02","0,163","0,188","0,651"
Kiribati ,OCEANIA                            ,105432,811,"140,94",0,800,,"42,7","30,65","8,26","0,089","0,242","0,668"
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,120540,"2,07",0,1300,99,"42,4","15,54","7,13","0,3","0,34","0,36"
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,98480,"2,45",0,17800,"97,9","486,1",10,"5,85","0,033","0,403","0,563"
Kuwait ,NEAR EAST                          ,2418393,17820,"2,8","14,18",19000,"83,5",211,"21,94","2,41","0,004","0,479","0,516"
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,198500,0,"-2,45",1600,97,84,"22,8","7,08","0,353","0,208","0,439"
Laos ,ASIA (EX. NEAR EAST)         ,6368481,236800,0,0,1700,"66,4","14,1","35,49","11,55","0,455","0,287","0,258"
Latvia ,BALTICS                            ,2274735,64589,"0,82","-2,23",10200,"99,8","321,4","9,24","13,66","0,04","0,261","0,699"
Lebanon ,NEAR EAST                          ,3874050,10400,"2,16",0,4800,"87,4","255,6","18,52","6,21","0,12","0,21","0,67"
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,30355,0,"-0,74",3000,"84,8","23,7","24,75","28,71","0,163","0,443","0,394"
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,111370,"0,52",0,1000,"57,5","2,3","44,77","23,1","0,769","0,054","0,177"
Libya ,NORTHERN AFRICA                    ,5900754,1759540,"0,1",0,6400,"82,6","127,1","26,49","3,48","0,076","0,499","0,425"
Liechtenstein ,WESTERN EUROPE                     ,33987,160,0,"4,85",25000,100,"585,5","10,21","7,18","0,06","0,39","0,55"
Lithuania ,BALTICS                            ,3585906,65200,"0,14","-0,71",11400,"99,6","223,4","8,75","10,98","0,055","0,325","0,62"
Luxembourg ,WESTERN EUROPE                     ,474413,2586,0,"8,97",55100,100,"515,4","11,94","8,41","0,01","0,13","0,86"
Macau ,ASIA (EX. NEAR EAST)         ,453125,28,"146,43","4,86",19400,"94,5","384,9","8,48","4,47","0,001","0,072","0,927"
Macedonia ,EASTERN EUROPE                     ,2050554,25333,0,"-1,45",6700,,260,"12,02","8,77","0,118","0,319","0,563"
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040,"0,82",0,800,"68,9","3,6","41,41","11,11","0,276","0,165","0,559"
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480,0,0,600,"62,7","7,9","43,13","19,33","0,342","0,158","0,499"
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,"1,42",0,9000,"88,7",179,"22,86","5,05","0,084","0,48","0,436"
Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,"214,67",0,3900,"97,2",90,"34,81","7,06","0,2","0,18","0,62"
Mali ,SUB-SAHARAN AFRICA                 ,11716829,1240000,0,"-0,33",900,"46,4","6,4","49,82","16,89","0,45","0,17","0,38"
Malta ,WESTERN EUROPE                     ,400214,316,"62,28","2,07",17700,"92,8",505,"10,22","8,1","0,03","0,23","0,74"
Marshall Islands ,OCEANIA                            ,60422,11854,"3,12","-6,04",1600,"93,7","91,2","33,05","4,78","0,317","0,149","0,534"
Martinique ,LATIN AMER. & CARIB    ,436131,1100,"31,82","-0,05",14400,"97,7","394,4","13,74","6,48","0,06","0,11","0,83"
