country,region,population,area,coastline,net migration,GDP,literacy,phones_per_1000,birthrate,deathrate,agriculture,industry,service
Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,"0,11",0,1100,"40,9","9,7","38,85","12,22","0,316","0,138","0,546"
Bermuda ,NORTHERN AMERICA                   ,65773,53,"194,34","2,49",36000,98,"851,4","11,4","7,74","0,01","0,1","0,89"
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,0,0,1300,"42,2","14,3","33,65","12,7","0,258","0,379","0,363"
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,0,"-1,32",2400,"87,2","71,9","23,3","7,53","0,128","0,352","0,52"
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,"0,04","0,31",6100,,"215,4","8,77","8,27","0,142","0,308","0,55"
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,0,0,9000,"79,8","80,5","23,08","29,5","0,024","0,469","0,507"
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,"0,09","-0,03",7600,"86,4","225,3","16,56","6,17","0,084","0,4","0,516"
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,"52,29","10,01",16000,"97,8","506,5","14,89","4,42","0,018","0,062","0,92"
Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,"2,79","3,59",18600,"93,9","237,2","18,79","3,45","0,036","0,561","0,403"
Bulgaria ,EASTERN EUROPE                     ,7385367,110910,"0,32","-4,58",7600,"98,6","336,3","9,65","14,27","0,093","0,304","0,603"
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,0,0,1100,"26,6",7,"45,62","15,6","0,322","0,196","0,482"
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,"0,28","-1,8",1800,"85,3","10,1","17,91","9,83","0,564","0,082","0,353"
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,0,"-0,06",600,"51,6","3,4","42,22","13,46","0,463","0,203","0,334"
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,"0,24",0,1900,"69,4","2,6","26,9","9,06","0,35","0,3","0,35"
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,"0,08",0,1800,79,"5,7","33,89","13,47","0,448","0,17","0,382"
Canada ,NORTHERN AMERICA                   ,33098932,9984670,"2,02","5,96",29800,97,"552,2","10,78","7,8","0,022","0,294","0,684"
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,"23,93","-12,07",1400,"76,6","169,6","24,87","6,55","0,121","0,219","0,66"
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,"61,07","18,75",35000,98,"836,3","12,74","4,89","0,014","0,032","0,954"
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984,0,0,1100,51,"2,3","33,91","18,65","0,55","0,2","0,25"
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000,0,"-0,11",1200,"47,5","1,3","45,73","16,38","0,335","0,259","0,406"
Chile ,LATIN AMER. & CARIB    ,16134219,756950,"0,85",0,9900,"96,2",213,"15,23","5,81","0,06","0,493","0,447"
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,"0,15","-0,4",5000,"90,9","266,7","13,25","6,97","0,125","0,473","0,403"
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,"0,28","-0,31",6300,"92,5","176,2","20,48","5,58","0,125","0,342","0,533"
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,"15,67",0,700,"56,5","24,5","36,93","8,2","0,4","0,04","0,56"
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,2345410,0,0,700,"65,5","0,2","43,69","13,27","0,55","0,11","0,34"
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,342000,"0,05","-0,17",700,"83,8","3,7","42,57","12,93","0,062","0,57","0,369"
Cook Islands ,OCEANIA                            ,21388,240,50,,5000,95,"289,9",21,,"0,151","0,096","0,753"
Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100,"2,52","0,51",9100,96,"340,7","18,32","4,36","0,088","0,299","0,614"
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,"0,16","-0,07",1400,"50,9","14,6","35,11","14,84","0,279","0,171","0,55"
Croatia ,EASTERN EUROPE                     ,4494749,56542,"10,32","1,58",10600,"98,5","420,4","9,61","11,48","0,07","0,308","0,622"
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,"3,37","-1,58",2900,97,"74,7","11,89","7,22","0,055","0,261","0,684"
Cyprus ,NEAR EAST                          ,784301,9250,"7,01","0,43",19200,"97,6",,"12,56","7,68","0,037","0,198","0,765"
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,0,"0,97",15700,"99,9","314,3","9,02","10,59","0,034","0,393","0,573"
Denmark ,WESTERN EUROPE                     ,5450661,43094,"16,97","2,48",31100,100,"614,6","11,13","10,36","0,018","0,246","0,735"
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,"1,37",0,1300,"67,9","22,8","39,53","19,31","0,179","0,225","0,596"
Dominica ,LATIN AMER. & CARIB    ,68910,754,"19,63","-13,87",5400,94,"304,8","15,27","6,73","0,177","0,328","0,495"
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,"2,64","-3,22",6000,"84,7","97,4","23,22","5,73","0,112","0,306","0,582"
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,"4,7",0,500,"58,6",,"26,99","6,24","0,085","0,231","0,684"
